,product_names,weights,delivered_prices,generic_product
0,Onken Natural Set Yogurt,450g,£1.75,ONKEN%20NATURAL%20YOGHURT%20450G
1,Rude Health Organic Almond Drink,1L,£2.30,RUDE%20HEALTH%20ALMOND%201L
2,Apetina Original Paneer Cheese ,225g,£1.99,APETINA%20PANEER%20%20225G
3,Viakal Classic Limescale Remover Spray,500ml,£3.50,VIAKAL%20CLASSIC%20500ML
4,Quaker Rolled Porridge Oats,1kg,£2.75,QUAKER%20ROLLED%20OATS%201KG
5,Morrisons White Double Roll Toilet Tissue  ,6 per pack,£4.20,TOILET%20ROLL%209
6,Morrisons Quilted Double Roll Toilet Tissue,6 per pack,£4.50,TOILET%20ROLL%209
7,Morrisons Shea Butter Double Roll Toilet Tissue,6 per pack,£4.50,TOILET%20ROLL%209
8,Morrisons Aloe Vera Double Roll Toilet Tissue White,6 per pack,£4.50,TOILET%20ROLL%209
9,Morrisons Coconut Double Roll Toilet Tissue,6 per pack,£4.50,TOILET%20ROLL%209
10,Regina Soft Bamboo Toilet Tissue Roll,9 per pack,£5.75,TOILET%20ROLL%209
11,Andrex Classic Clean Toilet Roll,9 per pack,£5.95,TOILET%20ROLL%209
12,Andrex Classic Clean Toilet Roll,12 per pack,£7.75,TOILET%20ROLL%209
13,Andrex Supreme Quilts Toilet Roll,9 per pack,£6.50,TOILET%20ROLL%209
14,Andrex Ultra Care Toliet Roll,9 per pack,£5.50,TOILET%20ROLL%209
15,Andrex Classic Clean Mega Toilet Roll ,9 per pack,£7.49,TOILET%20ROLL%209
16,Andrex Gentle Clean Mega Toilet Tissue,9 per pack,£6.95,TOILET%20ROLL%209
17,Andrex Mega Gentle Clean Toilet Tissue,6 per pack,£4.85,TOILET%20ROLL%209
18,Cushelle Original Toilet Tissue Rolls,12 per pack,£11.85,TOILET%20ROLL%209
19,Morrisons Aloe Vera Toilet Tissue,9 per pack,£4.55,TOILET%20ROLL%209
20,Morrisons Quilted Comfort Toilet Tissue,9 per pack,£4.60,TOILET%20ROLL%209
21,Morrisons Toilet Tissue White ,9 per pack,£4.25,TOILET%20ROLL%209
22,Morrisons Quilted Toilet Tissue ,9 per pack,£6.79,TOILET%20ROLL%209
23,Andrex Gentle Clean Toilet Roll,9 per pack,£4.85,TOILET%20ROLL%209
24,Kleenex Original Pocket Packs 9 Sheets 6 Pack,6 per pack,£1.75,TOILET%20ROLL%209
25,Andrex Supreme Quilts Mega Toilet Tissue,9 per pack,£9.50,TOILET%20ROLL%209
26,"Twinings Peppermint Tea, 80 Tea Bags",160g,£4,"TWININGS%20PEPPERMINT%20TEA,%2080%20TEA%20BAGS"
27,The Best Medjool Dates,400g,£4,MEDJOOL%20DATES%20500G
28,Medjool Village Dates,400g,£4,MEDJOOL%20DATES%20500G
29,Morrisons Organic Fairtrade Bananas ,5 per pack,£1.35,FAIRTRADE%20BANANAS%205
30,Morrisons The Best Extra Fine Green Beans,200g,£1.75,EXTRA%20FINE%20BEANS%20200G
31,Morrisons Sweetclem Easy Peelers,600g,£1,EASY%20PEELER%20ORANGES
32,Morrisons The Best Sweetclems With Leaf ,750g,£2.15,EASY%20PEELER%20ORANGES
33,Morrisons Sweetclems ,2.3kg,£3,EASY%20PEELER%20ORANGES
34,Morrisons Oranges,5 per pack,£1,EASY%20PEELER%20ORANGES
35,Morrisons Satsumas          ,600g,£1.35,EASY%20PEELER%20ORANGES
36,Morrisons Tangerines ,600g,£1.50,EASY%20PEELER%20ORANGES
37,Morrisons 100% Fruit Clementine Juice,1L,£1.69,EASY%20PEELER%20ORANGES
38,Clementine Bucks Fizz,75cl,£3,EASY%20PEELER%20ORANGES
39,"Morrisons Clementine, Blood Orange & Cranberry Juice ",1L,£1.69,EASY%20PEELER%20ORANGES
40,Fever Tree Light Spanish Clementine Tonic,500ml,£2,EASY%20PEELER%20ORANGES
41,Ecover Camomile & Clementine Washing Up Liquid,950ml,£3,EASY%20PEELER%20ORANGES
42,Method Clementine Daily Kitchen Cleaner ,828ml,£2.75,EASY%20PEELER%20ORANGES
43,Bonne Maman Clementine Mousse,2 x 70g,£2.19,EASY%20PEELER%20ORANGES
44,Morrisons The Best Coarse Venison & Clementine Pate,220g,£3.50,EASY%20PEELER%20ORANGES
