,product_names,prices,generic_product
0,Onken Natural Set Yogurt 450g,£2.0044p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
1,Yeo Valley Organic Natural Yogurt 450g,£2.0044p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
2,FAGE Total 5% Fat Natural Greek Recipe Strained Yoghurt 450g,£3.5078p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
3,FAGE Total 0% Natural Fat Free Greek Recipe Strained Yogurt ...,£3.5078p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
4,"Onken Mango, Papaya & Passionfruit Biopot Yogurt 450g",£2.2550p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
5,Arla Skyr Natural Icelandic Style Yogurt 450g,"£1.25with Nectar
£2.2550p / 100g",ONKEN%20NATURAL%20YOGHURT%20450G
6,Onken Cherry Yogurt 450g,£2.2550p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
7,Onken Fat Free Strawberry Yogurt 450g,£2.2550p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
8,Rachel's Organic Greek Style Set Natural Yogurt 450g,"£1.50with Nectar
£2.0044p / 100g",ONKEN%20NATURAL%20YOGHURT%20450G
9,St Helen's Farm Goat's Milk Natural Yogurt 450g,£2.4053p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
10,Onken Fat Free Vanilla Yogurt 450g,£2.2550p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
11,Yeo Valley Organic 0% Fat Natural Yogurt 450g,£2.0043p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
12,Yeo Valley Organic Super Thick 5% Fat Natural Yogurt 450g,£3.2572p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
13,Yeo Valley Organic Super Thick 0% Fat Natural Yogurt 450g,£3.2572p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
14,Arla Skyr Strawberry Icelandic Style Yogurt 450g,"£1.25with Nectar
£2.2550p / 100g",ONKEN%20NATURAL%20YOGHURT%20450G
15,Arla Skyr Vanilla Icelandic Style Yogurt 450g,"£1.25with Nectar
£2.2550p / 100g",ONKEN%20NATURAL%20YOGHURT%20450G
16,Yeo Valley Organic British Blackcurrant Creamy Bio Live Yogu...,"£1.50with Nectar
£2.2550p / 100g",ONKEN%20NATURAL%20YOGHURT%20450G
17,Bonne Maman Yoghurt Rhubarb Strawberry 450g,£2.6058p / 100g,ONKEN%20NATURAL%20YOGHURT%20450G
